customer_id,account_balance,credit_score,loan_amount,loan_duration_months,interest_rate,loan_purpose,application_date,approval_status,payment_due_date
28,889581.62,441,659959.5,82,4.15,home improvement,1/21/2024,rejected,5/5/2025
29,405435.08,483,12519.84,214,12.68,home improvement,10/21/2022,approved,3/7/2024
30,810566.62,753,772255.43,263,25.94,education,5/24/2023,pending,10/30/2024
31,987278.07,583,320579.87,329,24.65,home improvement,1/23/2023,pending,5/25/2025
32,22530.83,503,700766.14,347,14.71,education,9/27/2024,pending,6/17/2025
33,462449.97,825,789067.98,358,27.75,education,4/30/2024,approved,6/1/2024
34,399346.43,607,403717.59,111,4.35,education,2/21/2022,pending,7/24/2024
35,849803.14,475,512508.31,126,5.82,debt consolidation,9/26/2023,rejected,10/8/2025
36,553350.8,720,141530.63,245,17.99,education,5/12/2023,rejected,3/28/2024
37,920251.97,675,98918.12,360,18.73,debt consolidation,8/5/2023,pending,2/9/2025
38,6718.6,476,961351.28,88,26.19,education,3/4/2023,pending,11/15/2025
39,893405.72,510,943162.49,232,9.48,education,12/3/2024,rejected,9/5/2024
40,765526.79,333,950136.42,85,9.8,debt consolidation,10/29/2023,rejected,4/12/2025
41,409251.48,658,403291.08,62,6.74,home improvement,3/4/2022,rejected,3/31/2025
42,878806.97,618,58620.54,236,10.39,debt consolidation,3/14/2023,rejected,7/3/2024
43,850632.08,816,639608.51,241,11.2,home improvement,9/1/2024,approved,3/20/2024
44,685332.26,352,11929.4,7,27.37,education,12/16/2024,rejected,7/11/2025
45,891060.78,537,497404.68,105,16.74,home improvement,5/16/2022,approved,4/24/2024
46,773302.49,459,890692.26,30,15.96,education,3/17/2024,approved,2/1/2025
47,829361.34,427,746591.14,57,17.02,education,12/29/2022,pending,4/24/2025
48,757846.07,771,922634.94,160,3.56,debt consolidation,12/31/2022,pending,5/16/2024
49,694960.93,358,630220.23,178,23.8,education,7/4/2023,rejected,6/4/2024
50,696861.72,787,495795.39,28,27.01,education,5/6/2022,rejected,12/29/2024
51,531243.71,404,44226.22,65,26.9,education,8/15/2024,approved,12/30/2024
52,220418.38,317,279557.51,39,3.76,debt consolidation,4/7/2022,rejected,5/26/2024
53,253258.99,383,932413.35,236,4.26,education,5/1/2023,rejected,12/26/2024
54,175002.0,632,51024.53,174,23.16,debt consolidation,9/4/2024,rejected,1/2/2024
55,99640.36,691,261359.34,93,11.07,home improvement,6/24/2022,pending,5/18/2024
56,925624.15,329,377802.57,141,2.41,home improvement,6/11/2024,approved,2/11/2024
57,528866.39,377,337101.59,311,28.2,education,6/5/2024,approved,5/25/2024
58,492740.82,409,267576.83,174,13.27,education,3/25/2022,approved,6/12/2024
59,101127.41,627,411085.96,265,20.44,education,3/12/2024,approved,10/26/2024
60,785003.26,564,505213.37,243,2.34,debt consolidation,11/27/2022,pending,4/24/2025
61,797370.44,323,600824.5,103,1.49,home improvement,6/10/2023,pending,4/14/2024
62,951180.93,726,703042.17,360,2.09,debt consolidation,4/13/2024,approved,4/21/2025
63,758068.95,572,618104.34,352,10.02,education,1/9/2023,rejected,8/2/2024
64,824273.82,315,930268.51,38,15.1,home improvement,5/12/2022,pending,9/18/2025
65,307093.19,508,765233.86,172,14.09,home improvement,12/14/2023,approved,7/6/2024
66,421865.12,389,426864.54,289,8.68,home improvement,7/2/2023,pending,10/20/2025
67,354849.74,779,877286.91,302,3.84,debt consolidation,2/19/2022,rejected,10/14/2025
68,897366.73,578,78001.46,228,15.69,education,3/27/2022,rejected,2/21/2025
69,503379.19,837,183963.75,120,29.08,debt consolidation,2/2/2023,approved,6/15/2025
70,258058.16,779,672163.05,33,0.72,education,5/28/2023,rejected,6/8/2024
71,792058.54,748,860230.94,275,16.41,education,9/28/2022,pending,2/12/2025
72,140824.07,373,391767.29,57,27.34,debt consolidation,8/26/2024,rejected,2/16/2024
73,188825.87,388,663438.19,171,11.85,home improvement,4/28/2022,pending,5/8/2024
74,393381.19,452,778447.38,266,0.38,home improvement,6/29/2024,pending,10/7/2024
75,393014.0,516,42968.58,102,4.01,home improvement,4/5/2023,approved,6/12/2025
76,322566.39,519,195086.16,51,16.41,education,3/5/2024,approved,6/3/2024
77,863999.82,369,249946.96,98,26.52,debt consolidation,12/13/2024,approved,10/21/2024
78,981510.25,654,263789.89,23,23.55,debt consolidation,3/24/2023,approved,8/18/2024
79,425391.41,333,264993.38,169,23.31,home improvement,6/17/2022,approved,9/7/2024
80,918086.77,346,1470.85,130,28.91,education,11/2/2023,approved,5/17/2024
81,786786.94,348,66403.23,301,17.55,debt consolidation,1/6/2024,pending,12/20/2025
82,412587.55,814,440814.91,312,24.12,home improvement,4/11/2022,rejected,5/30/2024
83,669516.24,500,935179.68,124,23.75,education,12/16/2024,rejected,6/21/2024
84,472271.71,810,895277.33,296,15.61,debt consolidation,12/8/2024,pending,8/16/2025
85,287593.54,665,282065.25,38,5.45,education,7/12/2024,rejected,10/28/2025
86,849518.42,565,9443.58,190,29.96,home improvement,3/13/2024,pending,12/23/2025
87,59889.53,615,905093.41,32,20.21,home improvement,9/9/2024,approved,6/4/2024
88,162995.48,700,651961.3,50,4.46,debt consolidation,8/6/2024,rejected,9/29/2025
89,36482.7,451,475441.59,183,0.87,home improvement,8/27/2024,pending,10/10/2025
90,942568.48,675,904591.28,137,10.74,home improvement,12/3/2023,approved,7/4/2025
91,97126.01,523,710641.17,341,13.46,home improvement,7/29/2024,pending,12/1/2025
92,190372.78,831,958773.28,153,8.98,debt consolidation,5/6/2023,pending,1/7/2024
93,471296.56,676,60513.15,25,5.23,education,10/3/2024,approved,6/27/2024
94,663504.31,731,901048.08,221,7.68,education,6/6/2023,pending,9/12/2024
95,527154.65,402,835861.19,347,15.1,education,3/6/2024,rejected,6/7/2024
96,504828.8,770,663333.02,87,1.26,debt consolidation,8/16/2023,approved,4/3/2025
97,422532.58,432,493771.32,2,11.5,education,2/13/2024,pending,1/14/2025
98,151945.33,621,331011.14,267,20.79,home improvement,3/16/2024,pending,5/19/2025
99,739355.68,430,894390.74,41,23.81,home improvement,4/8/2024,rejected,9/2/2024
100,724856.29,664,921015.2,328,23.95,home improvement,11/15/2023,approved,5/23/2025
101,949486.83,486,928809.47,246,6.6,education,6/11/2024,rejected,1/13/2024
102,334041.07,472,157805.48,331,11.67,debt consolidation,11/13/2024,pending,12/14/2025
103,156374.1,788,43046.07,91,20.76,debt consolidation,4/29/2024,pending,7/18/2024
104,666133.4,816,239368.1,94,0.1,home improvement,8/15/2023,rejected,11/23/2024
105,142429.96,813,240467.04,172,17.03,debt consolidation,9/30/2023,rejected,1/25/2025
106,500563.02,679,277326.39,258,15.06,debt consolidation,7/17/2023,pending,10/17/2025
107,433330.62,490,201749.12,209,23.7,education,10/17/2023,pending,4/12/2025
108,737916.71,755,215470.27,85,20.42,debt consolidation,3/6/2024,rejected,3/15/2025
109,504892.02,591,158091.85,327,8.77,debt consolidation,6/19/2023,approved,9/20/2024
110,464207.88,419,655380.86,261,27.75,home improvement,7/30/2022,rejected,7/29/2025
111,71375.88,591,950023.64,306,1.72,debt consolidation,9/11/2023,pending,3/24/2025
112,336006.51,480,408354.65,139,11.43,home improvement,11/23/2024,rejected,8/28/2024
113,182054.65,826,981179.7,214,6.88,home improvement,9/2/2023,approved,5/7/2025
114,555046.34,411,68630.59,296,26.75,education,3/2/2022,approved,5/8/2024
115,173520.89,844,498401.22,303,20.09,home improvement,7/9/2024,pending,1/24/2024
116,30419.71,525,581688.0,89,9.88,debt consolidation,8/17/2024,approved,6/10/2024
117,134180.69,728,588994.56,126,21.46,education,8/3/2024,pending,7/12/2024
118,277876.15,580,895819.34,337,12.85,debt consolidation,3/20/2023,approved,7/25/2024
119,832927.96,366,382510.21,100,18.79,debt consolidation,5/18/2022,approved,8/27/2024
120,805055.23,433,105509.16,174,10.95,home improvement,5/28/2023,approved,3/30/2025
121,986588.95,625,151949.03,192,11.48,debt consolidation,3/19/2022,rejected,6/28/2024
122,373348.81,714,192431.32,35,3.55,debt consolidation,6/6/2023,approved,4/12/2024
123,284341.28,736,784086.68,105,13.83,education,9/16/2022,approved,2/27/2024
124,693964.93,770,159069.32,245,18.15,debt consolidation,7/6/2022,approved,2/19/2024
125,156938.87,750,492571.13,40,27.77,education,3/4/2022,approved,12/29/2025
126,357984.8,495,380366.65,159,7.82,education,7/16/2024,pending,5/13/2024
127,799224.4,639,592539.86,307,20.52,home improvement,6/10/2024,rejected,4/22/2024
128,528319.37,833,624327.75,165,28.0,debt consolidation,2/19/2022,pending,6/12/2024
129,201663.11,503,734930.71,76,21.67,debt consolidation,10/4/2023,approved,2/16/2024
130,878981.64,618,434205.43,161,4.15,home improvement,4/4/2024,rejected,7/17/2025
131,896333.95,442,613477.99,301,21.47,debt consolidation,2/17/2024,approved,6/4/2024
132,618701.18,321,238207.47,343,23.42,education,9/2/2024,pending,6/1/2024
133,518349.52,444,670894.97,259,1.3,home improvement,11/17/2023,approved,3/6/2025
134,843469.74,800,41138.24,298,0.25,education,7/1/2023,pending,9/17/2025
135,542002.84,823,879511.18,349,4.9,education,7/5/2023,approved,6/13/2024
136,826677.01,647,107816.94,56,20.55,debt consolidation,6/2/2022,approved,10/31/2025
137,351337.7,475,559816.81,61,18.9,education,12/28/2024,pending,10/9/2024
138,946873.83,402,976023.94,181,5.03,education,9/9/2022,approved,3/26/2025
139,42310.05,576,858515.28,212,12.0,home improvement,6/15/2024,rejected,10/17/2025
140,130612.92,660,790417.85,105,1.63,home improvement,7/15/2023,pending,11/21/2024
141,427358.3,664,933627.88,257,10.04,home improvement,4/7/2022,pending,10/2/2025
142,871377.46,767,617719.85,26,0.83,education,9/8/2023,pending,6/23/2024
143,267104.13,679,952925.68,85,26.7,home improvement,2/24/2024,pending,8/17/2025
144,852916.88,416,885532.7,205,24.76,debt consolidation,3/20/2024,pending,12/4/2025
145,774173.41,580,143327.95,223,4.03,education,10/2/2023,approved,12/23/2024
146,670294.95,702,830964.17,128,0.29,home improvement,6/28/2024,approved,12/16/2025
147,710875.61,733,444664.57,304,2.57,home improvement,1/15/2022,rejected,11/10/2025
148,310841.89,626,589389.34,301,12.36,home improvement,1/8/2022,rejected,2/12/2025
149,612761.1,547,193527.11,74,7.1,home improvement,3/20/2024,pending,11/15/2025
150,180771.37,814,315375.47,339,26.8,education,11/4/2022,approved,2/16/2025
151,900034.78,844,92611.12,287,9.63,home improvement,11/16/2024,rejected,1/6/2025
152,47696.57,354,757586.29,310,9.01,education,8/18/2024,pending,6/18/2024
153,629932.48,492,852308.15,64,22.01,debt consolidation,8/28/2023,rejected,7/26/2025
154,574599.23,674,9285.1,160,18.4,home improvement,2/8/2023,approved,5/21/2024
155,25922.5,790,412562.38,327,28.93,education,9/26/2022,pending,1/19/2025
156,298311.01,372,993444.34,268,21.89,education,7/26/2022,approved,9/10/2025
157,900154.43,693,161877.22,309,29.13,debt consolidation,8/11/2024,pending,10/8/2025
158,165525.32,347,256884.84,359,29.14,debt consolidation,1/5/2024,rejected,3/16/2025
159,714908.9,453,277359.39,162,11.93,home improvement,12/28/2022,pending,10/14/2025
160,252824.03,533,363529.69,315,23.11,home improvement,11/22/2022,approved,8/8/2025
161,478495.06,749,910458.57,351,0.92,home improvement,2/17/2024,approved,12/8/2024
162,844421.62,307,828742.76,237,19.69,education,12/22/2023,approved,5/15/2024
163,511215.84,418,711901.97,145,25.2,debt consolidation,9/8/2023,approved,10/18/2025
164,584713.41,575,223180.68,156,25.47,education,10/4/2023,approved,10/9/2024
165,460897.5,811,439701.56,360,27.61,debt consolidation,10/16/2023,approved,9/18/2024
166,162481.16,535,338866.98,229,20.57,home improvement,6/16/2024,pending,8/12/2025
167,746370.05,759,802101.39,53,14.25,debt consolidation,5/14/2022,pending,6/19/2024
168,357196.31,540,975168.7,299,6.25,home improvement,6/20/2024,approved,1/31/2024
169,655760.3,479,935068.86,113,25.03,education,3/24/2022,rejected,8/15/2025
170,843485.58,311,565586.35,42,12.31,debt consolidation,6/17/2024,pending,6/15/2025
171,904429.59,322,455323.71,31,5.61,education,12/13/2022,approved,5/27/2025
172,608162.6,412,713019.86,105,11.13,home improvement,6/3/2024,approved,8/18/2025
173,417987.15,617,559305.55,306,26.66,home improvement,9/21/2023,rejected,3/11/2025
174,508677.82,558,262672.05,146,19.59,debt consolidation,10/25/2024,rejected,10/24/2024
175,260341.09,640,727322.65,336,24.43,home improvement,4/22/2022,pending,12/9/2025
176,478321.38,469,293470.06,218,4.38,home improvement,12/11/2024,approved,7/13/2024
177,440590.72,426,307877.2,206,22.66,education,12/11/2023,approved,3/13/2025
178,851003.93,838,289461.46,302,23.66,debt consolidation,3/31/2022,pending,3/31/2025
179,360467.17,453,212829.91,360,27.07,debt consolidation,12/7/2024,pending,3/31/2025
180,574828.15,377,758214.19,184,28.67,debt consolidation,6/18/2022,approved,3/1/2025
181,698267.9,423,959573.82,110,9.52,home improvement,10/23/2024,rejected,8/18/2024
182,669007.5,689,197554.86,215,12.64,debt consolidation,5/31/2023,approved,6/25/2024
183,313939.17,590,845349.62,317,12.18,debt consolidation,6/29/2023,approved,11/30/2025
184,134783.59,437,892820.01,116,17.08,education,12/10/2022,rejected,2/5/2025
185,313399.15,696,657157.2,80,19.75,education,9/12/2022,rejected,8/18/2025
186,130748.11,745,103352.73,118,8.91,home improvement,5/10/2023,rejected,5/29/2025
187,918372.7,695,124433.78,219,24.94,home improvement,4/23/2023,pending,10/10/2024
188,391794.21,469,512337.75,320,17.43,debt consolidation,10/9/2022,pending,8/14/2024
189,843420.03,389,567650.92,85,8.7,debt consolidation,8/19/2023,pending,6/11/2025
190,242446.02,534,716715.42,77,1.28,debt consolidation,3/9/2023,approved,11/5/2025
191,206521.8,629,516616.43,268,28.34,education,10/24/2024,approved,4/5/2024
192,629924.99,354,50279.14,348,20.12,education,11/25/2023,pending,5/14/2025
193,995471.8,793,118643.59,237,0.23,home improvement,8/10/2022,pending,10/5/2024
194,418863.91,386,535983.99,84,0.63,home improvement,2/29/2024,rejected,7/20/2024
195,520534.89,640,592072.31,218,23.61,education,3/30/2022,pending,2/13/2024
196,166131.9,818,205476.07,280,26.48,education,2/20/2022,approved,6/26/2025
197,95952.69,768,426815.0,66,18.51,debt consolidation,6/21/2022,rejected,8/2/2025
198,826119.55,701,963608.61,247,16.32,education,12/10/2023,approved,8/2/2025
199,428732.14,618,982668.07,277,28.4,debt consolidation,3/28/2024,approved,12/22/2024
200,714819.35,543,883077.73,140,19.33,home improvement,6/3/2023,pending,9/22/2024
201,836274.11,849,692127.78,342,29.69,education,2/20/2023,approved,8/19/2025
202,120988.14,741,734932.09,187,4.98,debt consolidation,6/26/2023,pending,10/25/2025
203,311395.24,581,858756.74,279,11.45,home improvement,10/11/2022,rejected,4/13/2024
204,827470.52,783,508427.28,13,20.79,debt consolidation,11/24/2023,rejected,6/17/2025
205,629258.99,774,112211.17,38,16.91,education,12/1/2024,pending,7/16/2024
206,998544.04,410,52799.66,201,4.06,home improvement,9/28/2024,approved,5/23/2024
207,683695.96,778,910583.83,237,13.85,education,3/20/2022,approved,1/7/2024
208,714974.38,395,758180.06,211,23.37,debt consolidation,8/6/2023,approved,2/7/2025
209,452289.04,603,79297.12,141,1.39,home improvement,6/26/2023,pending,11/30/2024
210,216543.97,800,776681.12,133,13.58,home improvement,11/17/2024,approved,5/29/2024
211,501284.46,554,589804.09,349,15.32,debt consolidation,1/26/2022,pending,11/19/2024
212,328975.6,691,389506.18,218,29.55,education,6/3/2022,pending,1/22/2024
213,831041.99,778,166343.31,176,21.03,home improvement,12/28/2022,pending,2/27/2025
214,648974.79,380,135438.53,99,29.14,education,10/15/2022,rejected,9/23/2025
215,530004.62,699,492064.1,219,22.14,home improvement,10/11/2024,pending,12/29/2024
216,283428.66,780,875636.6,144,16.26,debt consolidation,10/11/2024,rejected,8/31/2025
217,113456.36,376,40962.92,272,4.7,home improvement,1/6/2022,rejected,8/4/2024
218,607510.24,477,531451.07,130,0.55,education,9/30/2023,rejected,2/23/2025
219,866148.76,784,940234.72,214,7.28,education,2/11/2023,pending,6/23/2024
220,22616.61,763,517435.56,259,25.35,education,4/5/2024,rejected,9/9/2025
221,912574.35,307,332744.19,243,13.27,education,10/13/2023,rejected,4/7/2024
222,630941.19,365,63586.68,330,22.13,education,7/7/2023,rejected,6/1/2025
223,752766.34,619,914840.47,342,19.1,education,7/18/2023,rejected,11/6/2024
224,807285.38,319,128094.85,145,17.72,education,11/18/2024,rejected,5/27/2024
225,486010.65,494,181860.62,344,11.14,home improvement,6/12/2022,approved,11/18/2025
226,739830.4,741,350559.35,196,13.18,education,5/13/2023,pending,6/25/2024
227,919990.83,490,270681.98,87,19.4,debt consolidation,6/30/2023,approved,12/13/2025
228,413240.06,629,649911.22,318,28.14,education,4/15/2023,rejected,6/26/2025
229,20267.72,429,545824.68,278,4.37,debt consolidation,12/6/2023,pending,9/7/2024
230,802689.77,453,961907.4,174,26.03,home improvement,6/7/2024,rejected,7/26/2024
231,182761.77,731,665267.8,135,25.91,home improvement,6/19/2023,pending,5/4/2025
232,842516.06,505,200030.51,37,11.89,education,10/31/2022,approved,9/8/2025
233,375286.14,661,49646.67,55,17.05,education,3/15/2022,approved,5/10/2024
234,843145.47,655,667104.75,155,8.1,education,6/24/2024,approved,2/10/2025
235,144901.39,378,389220.03,146,23.34,home improvement,12/8/2022,approved,1/4/2025
236,38481.06,771,211222.31,273,28.66,education,12/14/2022,pending,5/14/2025
237,312085.73,513,425732.7,312,15.1,education,11/19/2023,approved,7/23/2024
238,919596.3,633,710640.9,54,24.48,debt consolidation,7/13/2024,pending,7/23/2024
239,689831.29,530,900045.77,123,17.31,education,12/16/2022,rejected,2/20/2024
240,753234.82,352,185968.23,82,25.65,debt consolidation,12/29/2024,rejected,2/17/2025
241,577647.88,480,746099.2,311,16.93,home improvement,4/5/2023,rejected,12/27/2025
242,319314.42,598,8776.82,49,0.07,education,6/20/2022,pending,10/25/2024
243,85737.76,583,755302.16,113,12.59,debt consolidation,6/2/2023,approved,6/13/2024
244,992853.88,337,824718.25,313,3.6,education,3/27/2023,rejected,3/13/2025
245,66783.03,590,506549.59,36,2.96,home improvement,2/24/2022,approved,3/5/2024
246,524274.37,501,265644.38,264,28.22,debt consolidation,3/22/2022,rejected,5/26/2025
247,624972.1,534,676120.87,197,22.8,home improvement,8/21/2022,approved,9/11/2024
248,698357.47,545,264374.14,268,13.19,home improvement,9/8/2023,approved,2/1/2025
249,337388.64,707,159340.06,143,14.43,home improvement,7/23/2022,pending,8/12/2025
250,945560.65,814,17962.44,123,22.56,debt consolidation,9/13/2022,approved,2/17/2024
251,959465.02,459,453220.6,291,0.17,debt consolidation,8/8/2022,pending,7/31/2024
252,569450.45,835,683704.61,317,5.95,home improvement,3/7/2024,rejected,12/3/2025
253,889428.2,774,125408.68,88,7.32,education,8/28/2024,pending,10/16/2025
254,236250.64,541,650834.49,236,12.08,home improvement,11/24/2022,approved,6/30/2024
255,697769.48,831,600784.17,248,3.47,education,9/15/2022,rejected,7/30/2024
256,344594.71,747,600813.98,36,26.36,home improvement,10/9/2022,approved,4/6/2024
257,169958.63,598,619169.31,111,2.99,debt consolidation,1/23/2022,rejected,9/21/2024
258,935006.88,791,859084.77,244,29.73,home improvement,4/11/2023,pending,11/24/2024
259,247301.08,665,300461.98,79,28.36,debt consolidation,5/14/2022,rejected,11/20/2025
260,164893.59,468,77252.05,318,1.49,home improvement,9/15/2022,approved,3/24/2025
261,694513.65,693,928069.6,329,6.02,debt consolidation,11/12/2022,pending,11/3/2024
262,236966.99,314,65834.93,62,14.17,home improvement,7/29/2022,rejected,3/19/2024
263,706429.75,338,887026.39,45,25.26,debt consolidation,5/22/2023,approved,6/16/2025
264,734303.15,570,482098.01,190,9.26,education,12/26/2024,rejected,6/15/2024
265,566128.05,352,737763.75,296,12.67,home improvement,1/25/2022,approved,3/1/2025
266,977304.19,551,63509.33,135,11.15,home improvement,10/1/2024,pending,2/7/2025
267,921482.34,504,367817.35,126,12.73,education,12/29/2024,approved,12/9/2025
268,934795.79,556,565611.17,33,15.35,debt consolidation,2/21/2023,approved,3/22/2024
269,816016.81,484,896503.76,291,28.07,debt consolidation,10/13/2023,rejected,9/15/2025
270,596483.48,714,80296.74,30,20.59,education,6/23/2022,pending,9/2/2024
271,460792.13,614,845005.51,146,25.19,education,3/22/2022,rejected,6/24/2025
272,317231.35,736,773005.71,126,29.76,education,7/3/2022,rejected,4/30/2025
273,960792.55,482,883742.2,274,9.94,debt consolidation,2/21/2024,approved,9/11/2024
274,615766.16,628,224077.56,251,28.86,debt consolidation,6/26/2022,rejected,10/31/2024
275,989401.16,487,339973.94,142,1.3,debt consolidation,8/12/2022,rejected,8/22/2024
276,529046.56,572,1188.9,105,7.32,debt consolidation,5/2/2022,approved,9/26/2024
277,445255.59,407,167728.48,295,10.71,debt consolidation,7/11/2023,approved,8/12/2025
278,853480.64,568,243808.21,86,17.5,education,3/18/2024,rejected,5/22/2024
279,351226.81,702,536798.31,155,24.16,home improvement,8/11/2023,rejected,5/27/2025
280,577112.77,385,775429.47,24,1.71,home improvement,12/1/2024,approved,9/24/2025
281,564453.93,716,1429.01,38,18.2,debt consolidation,7/13/2024,approved,6/17/2024
282,111704.64,653,568589.14,154,11.63,education,3/15/2022,rejected,10/16/2025
283,987313.95,483,360452.14,222,22.13,education,1/23/2024,rejected,6/16/2024
284,808751.16,719,404306.37,103,6.73,education,11/5/2023,approved,6/10/2025
285,212264.99,772,104929.59,317,8.99,education,1/16/2024,approved,3/28/2024
286,964399.15,690,468909.2,66,17.62,home improvement,8/13/2022,rejected,2/15/2025
287,557273.96,566,773614.62,166,19.25,home improvement,9/2/2023,approved,7/23/2025
288,242652.66,555,618356.99,344,7.61,debt consolidation,8/8/2022,approved,1/17/2024
289,258411.42,815,28852.73,299,11.46,home improvement,10/2/2023,rejected,4/12/2024
290,115378.69,423,70657.85,233,20.47,debt consolidation,12/10/2022,pending,3/23/2024
291,857799.02,382,652881.47,296,13.16,education,7/21/2022,rejected,12/18/2025
292,920961.97,644,629569.93,301,8.77,education,6/3/2024,rejected,1/14/2024
293,983120.76,754,92763.98,187,9.09,debt consolidation,1/17/2023,rejected,4/25/2025
294,523522.64,722,951785.04,316,25.18,home improvement,8/12/2022,rejected,3/29/2025
295,669581.99,423,876991.25,7,29.71,debt consolidation,12/5/2022,rejected,3/7/2025
296,282894.75,765,442767.63,76,13.39,home improvement,1/3/2023,approved,11/17/2024
297,118143.28,740,89273.69,71,2.17,education,8/18/2024,approved,11/6/2024
298,92779.01,570,825814.7,301,10.29,education,1/10/2022,rejected,6/16/2024
299,416564.79,337,747142.4,163,27.25,education,7/10/2024,rejected,11/10/2025
300,196979.21,310,882724.28,145,4.11,debt consolidation,6/13/2024,approved,6/16/2024
301,265443.89,648,698043.73,143,1.8,home improvement,7/14/2024,rejected,12/5/2024
302,847058.71,711,681428.48,19,3.9,home improvement,7/26/2024,pending,9/14/2024
303,772988.67,825,448147.98,87,5.11,home improvement,5/30/2022,approved,5/1/2024
304,352484.39,613,662135.04,209,11.9,education,5/3/2023,pending,12/21/2025
305,843381.31,770,649342.66,336,2.64,home improvement,3/4/2022,pending,7/18/2024
306,638596.63,621,333053.11,75,5.43,education,9/10/2023,pending,7/15/2025
307,170403.56,333,921021.23,315,19.26,education,9/16/2024,approved,5/31/2025
308,678264.04,699,901641.67,346,19.06,debt consolidation,11/5/2023,rejected,12/7/2024
309,665717.95,636,631964.18,264,10.42,home improvement,4/30/2022,pending,11/4/2024
310,431689.38,533,382612.65,312,16.48,education,12/29/2024,rejected,12/22/2025
311,615785.45,574,669370.88,231,21.5,home improvement,2/2/2024,rejected,2/15/2024
312,698467.76,641,981806.44,210,10.64,debt consolidation,9/26/2022,pending,8/30/2025
313,589012.43,678,557529.99,293,13.11,home improvement,3/25/2024,approved,3/21/2024
314,184413.62,524,173360.2,261,29.11,debt consolidation,11/26/2022,approved,10/24/2025
315,598606.8,545,431653.12,43,11.81,debt consolidation,2/28/2022,rejected,4/3/2025
316,430656.58,450,913546.91,34,6.13,home improvement,8/18/2024,approved,1/29/2025
317,416203.84,832,336759.9,337,6.88,education,4/23/2022,rejected,1/15/2025
318,240184.75,669,494890.11,290,7.55,home improvement,7/22/2022,rejected,2/5/2025
319,40961.47,747,923979.06,69,10.1,home improvement,9/26/2022,rejected,11/22/2025
320,543144.07,370,426284.91,8,7.67,debt consolidation,6/16/2022,approved,7/6/2025
321,245535.29,849,785272.83,27,17.09,education,5/14/2023,rejected,2/9/2025
322,172833.88,336,582735.37,244,15.28,debt consolidation,5/19/2023,rejected,4/1/2024
323,921541.75,589,585008.78,159,28.04,debt consolidation,3/19/2022,pending,5/2/2024
324,466099.97,593,147873.87,315,10.3,education,2/27/2024,pending,8/20/2024
325,332030.21,506,87968.41,132,5.08,education,8/12/2023,pending,5/18/2024
326,587755.62,325,887352.26,63,9.31,education,7/11/2023,rejected,3/17/2024
327,480871.28,573,127076.58,105,18.54,home improvement,7/2/2023,rejected,12/5/2025
328,806725.89,352,605631.76,156,0.32,home improvement,7/27/2024,pending,11/13/2025
329,609436.36,371,812850.82,41,24.64,home improvement,3/31/2023,rejected,2/16/2025
330,383067.26,437,468559.71,23,27.07,home improvement,7/1/2024,pending,9/7/2025
