Volatility 3 Framework 2.7.0

Offset	Name	Size
0xde012e4d80c0	\Windows\System32\nsi.dll	216
0xde012e4d8250	\Windows\System32\msvcrt.dll	216
0xde012e4d83e0	\Windows\System32\shlwapi.dll	216
0xde012e4d8570	\Windows\System32\ole32.dll	216
0xde012e4d8700	\Windows\System32\wow64win.dll	216
0xde012e4d8890	\Windows\System32\difxapi.dll	216
0xde012e4d8a20	\Windows\System32\coml2.dll	216
0xde012e4d8bb0	\Windows\System32\clbcatq.dll	216
0xde012e4d8d40	\Windows\System32\sechost.dll	216
0xde012e4d8ed0	\Windows\System32\bcrypt.dll	216
0xde012e4d91f0	\Windows\System32\SHCore.dll	216
0xde012e4d9380	\Windows\System32\normaliz.dll	216
0xde012e4d9510	\Windows\System32\gdi32full.dll	216
0xde012e4d96a0	\Windows\System32\imagehlp.dll	216
0xde012e4d9830	\Windows\System32\shell32.dll	216
0xde012e4d9b50	\Windows\System32\wow64.dll	216
0xde012e4d9ce0	\Windows\System32\advapi32.dll	216
0xde012e4d9e70	\Windows\System32\comdlg32.dll	216
0xde012e5b8570	\Windows\System32\win32u.dll	216
0xde012e5b9b50	\Windows\System32\KernelBase.dll	216
0xde012e5ce0c0	\Windows\System32\ucrtbase.dll	216
0xde012e5ce250	\Windows\System32\cfgmgr32.dll	216
0xde012e5ce3e0	\Windows\System32\msvcp_win.dll	216
0xde012e5ce700	\Windows\SysWOW64\msvcp_win.dll	216
0xde012e5ce890	\Windows\SysWOW64\msvcrt.dll	216
0xde012e5cea20	\Windows\SysWOW64\SHCore.dll	216
0xde012e5cf380	\Windows\System32\comctl32.dll	216
0xde012e5cf510	\Windows\System32\crypt32.dll	216
0xde012e5cf6a0	\Windows\System32\bcryptprimitives.dll	216
0xde012e5cf9c0	\Windows\System32\wintrust.dll	216
0xde012e5cfb50	\Windows\SysWOW64\win32u.dll	216
0xde012e5d80c0	\Windows\SysWOW64\msctf.dll	216
0xde012e5d8250	\Windows\SysWOW64\bcrypt.dll	216
0xde012e5d83e0	\Windows\SysWOW64\nsi.dll	216
0xde012e5d8570	\Windows\SysWOW64\rpcrt4.dll	216
0xde012e5d8700	\Windows\SysWOW64\kernel32.dll	216
0xde012e5d8890	\Windows\SysWOW64\advapi32.dll	216
0xde012e5d8a20	\Windows\SysWOW64\imagehlp.dll	216
0xde012e5d8bb0	\Windows\SysWOW64\shell32.dll	216
0xde012e5d8d40	\Windows\SysWOW64\ole32.dll	216
0xde012e5d8ed0	\Windows\SysWOW64\cfgmgr32.dll	216
0xde012e5d91f0	\Windows\SysWOW64\oleaut32.dll	216
0xde012e5d9380	\Windows\SysWOW64\crypt32.dll	216
0xde012e5d9510	\Windows\SysWOW64\combase.dll	216
0xde012e5d96a0	\Windows\SysWOW64\normaliz.dll	216
0xde012e5d9830	\Windows\SysWOW64\wintrust.dll	216
0xde012e5d99c0	\Windows\SysWOW64\GdiPlus.dll	216
0xde012e5d9b50	\Windows\SysWOW64\bcryptprimitives.dll	216
0xde012e5d9ce0	\Windows\SysWOW64\psapi.dll	216
0xde012e5d9e70	\Windows\SysWOW64\difxapi.dll	216
0xde012e5dc0c0	\ProtectedPrefix\Administrators	216
0xde012e5dc250	\Windows\SysWOW64\comctl32.dll	216
0xde012e5dc3e0	\Windows\SysWOW64\setupapi.dll	216
0xde012e5dc570	\Windows\SysWOW64\user32.dll	216
0xde012e5dc700	\Windows\SysWOW64\coml2.dll	216
0xde012e5dc890	\Windows\SysWOW64\KernelBase.dll	216
0xde012e5dca20	\Windows\SysWOW64\shlwapi.dll	216
0xde012e5dcbb0	\Windows\SysWOW64\comdlg32.dll	216
0xde012e5dcd40	\Windows\SysWOW64\ucrtbase.dll	216
0xde012e5dced0	\Windows\SysWOW64\imm32.dll	216
0xde012e5dd1f0	\Windows\SysWOW64\gdi32full.dll	216
0xde012e5dd380	\Windows\SysWOW64\ws2_32.dll	216
0xde012e5dd510	\Windows\SysWOW64\sechost.dll	216
0xde012e5dd6a0	\Windows\SysWOW64\clbcatq.dll	216
0xde012e5dd9c0	\Windows\SysWOW64\Wldap32.dll	216
0xde012e5ddb50	\Windows\SysWOW64\gdi32.dll	216
0xde012e5ddce0	\ProtectedPrefix	216
0xde012e5dde70	\ProtectedPrefix	216
0xde012e5de0c0	\Boot\BCD.LOG	216
0xde012e5de250	\Windows\System32\config\SOFTWARE.LOG2	216
0xde012e5de3e0	\ProtectedPrefix\NetWorkService	216
0xde012e5de570	\Windows\System32\config\SOFTWARE	216
0xde012e5de700	\Windows\System32\config\SOFTWARE.LOG1	216
0xde012e5dea20	\$Directory	216
0xde012e5debb0	\Windows\System32\config\SYSTEM.LOG2	216
0xde012e5ded40	\Boot\BCD	216
0xde012e5deed0	\Windows\System32\config\SYSTEM.LOG1	216
0xde012e5df1f0	\ProtectedPrefix\LocalService	216
0xde012e5df380	\ProtectedPrefix\NetWorkService	216
0xde012e5df510	\Windows\bootstat.dat	216
0xde012e5df6a0	\Sessions	216
0xde012e5df830	\Windows\System32\config\SYSTEM	216
0xde012e5dfb50	\Windows\System32\WinSCard.dll	216
0xde012e5dfce0	\$Directory	216
0xde012e5dfe70	\Windows\System32\csrsrv.dll	216
0xde012e5e4230	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf	216
0xde012e5e4510	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001	216
0xde012e5e4680	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderAuditLogger.etl	216
0xde012e5e4960	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002	216
0xde012e5e4c40	\$MftMirr	216
0xde012e5e5370	\$Mft	216
0xde012e5e54e0	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xde012e5e57c0	\$Secure:$SDS:$DATA	216
0xde012e5e5930	\$Extend:$I30:$INDEX_ALLOCATION	216
0xde012e5e5c10	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION	216
0xde012e5e5d80	\$Extend\$RmMetadata\$Repair	216
0xde012e5e6060	\$LogFile	216
0xde012e5e6340	\$BitMap	216
0xde012e5e64b0	\:$I30:$INDEX_ALLOCATION	216
0xde012e5e6900	\$Secure:$SII:$INDEX_ALLOCATION	216
0xde012e5e6a70	\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA	216
0xde012e5e6be0	\$Extend\$RmMetadata\$Repair:$Verify:$DATA	216
0xde012e5e6d50	\$Mft::$BITMAP	216
0xde012e5e6ec0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl	216
0xde012e5e7310	\$Directory	216
0xde012e5e7480	\Windows\System32\LogFiles\WMI\Microsoft-Windows-Rdp-Graphics-RdpIdd-Trace.etl	216
0xde012e5e7760	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderApiLogger.etl	216
0xde012e5e78d0	\$Secure:$SDH:$INDEX_ALLOCATION	216
0xde012e5e7a40	\$Directory	216
0xde012e5e7bb0	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xde012e5e7d20	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA	216
0xde012e5e8170	\Device\HarddiskVolume3\$Extend\$RmMetadata\$TxfLog\$TxfLog	216
0xde012e5e8450	\:$I30:$INDEX_ALLOCATION	216
0xde012e5e8730	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventlog-Security.etl	216
0xde012e5e88a0	KtmLog	216
0xde012e5e8cf0	\Windows\System32\LogFiles\WMI\NetCore.etl	216
0xde012e5e8e60	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION	216
0xde012e5e9140	TxfLog	216
0xde012e5e92b0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl	216
0xde012e5e9420	\$Extend\$RmMetadata\$TxfLog\$Tops	216
0xde012e5e9590	\$Directory	216
0xde012e5e9700	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl	216
0xde012e5e9870	\Windows\System32\LogFiles\WMI\LwtNetLog.etl	216
0xde012e5e9cc0	\Windows\System32\LogFiles\WMI\RadioMgr.etl	216
0xde012e5ea840	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl	216
0xde012e5ea9b0	\$Directory	216
0xde012e5eac90	\Windows\System32\WDI\LogFiles\WdiContextLog.etl.002	216
0xde012e5eb530	\Windows\System32\LogFiles\WMI\NtfsLog.etl	216
0xde012e5ebc60	\Windows\System32\LogFiles\WMI\Wifi.etl	216
0xde012e9800c0	\swapfile.sys	216
0xde012e980250	\Windows\System32\win32kfull.sys	216
0xde012e9803e0	\Windows\System32\win32kbase.sys	216
0xde012e980570	\Windows\System32\en-US\win32kbase.sys.mui	216
0xde012e980700	\Windows\System32\win32k.sys	216
0xde012e980a20	\Windows\System32\powrprof.dll	216
0xde012e980bb0	\pagefile.sys	216
0xde012e980d40	\DumpStack.log.tmp	216
0xde012e9811f0	:$VMCB$	216
0xde012e981380	\Windows\System32\basesrv.dll	216
0xde012e981510	\$Directory	216
0xde012e9816a0	\Sessions\0\AppContainerNamedObjects	216
0xde012e981830	\Windows\System32\csrss.exe	216
0xde012e9819c0	\Windows\System32	216
0xde012e981ce0	\Windows\System32\profapi.dll	216
0xde012eb4a0c0	\Windows\System32\drivers\hidparse.sys	216
0xde012eb4a960	\SystemRoot\System32\Config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM	216
0xde012eb4b200	\Windows\System32\drivers\mouhid.sys	216
0xde012eb4b370	\$Directory	216
0xde012eb4bc10	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000001.regtrans-ms	216
0xde012eb4c060	\$Directory	216
0xde012eb4c340	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000002.regtrans-ms	216
0xde012eb4c790	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM.blf	216
0xde012eb4c900	\Windows\System32\drivers\hidusb.sys	216
0xde012eb4ca70	\Windows\System32\drivers\hidclass.sys	216
0xde012eb4cbe0	\SystemRoot\System32\Config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM	216
0xde012eb4d480	\$ConvertToNonresident	216
0xde012eb4f140	\Windows\System32\drivers\udfs.sys	216
0xde012eb51c60	\Windows\System32\drivers\monitor.sys	216
0xde012ec530d0	\Windows\System32\en-US\winsrv.dll.mui	216
0xde012ec533f0	\Windows\System32\sspicli.dll	216
0xde012ec53580	\Windows\System32\Windows.Data.Activities.dll	216
0xde012ec53710	\Endpoint	216
0xde012ec538a0	\CMNotify	216
0xde012ec53bc0	\Windows\System32\winsrvext.dll	216
0xde012ec53d50	\Windows\System32\config\DEFAULT.LOG1	216
0xde012ec53ee0	\Windows\SysWOW64\actxprxy.dll	216
0xde012ec54200	\Windows\System32\winsrv.dll	216
0xde012ec54390	\Windows\System32\config\DEFAULT	216
0xde012ec54520	\Windows\System32\drivers\dxgmms2.sys	216
0xde012ec54840	\Windows\System32\wininitext.dll	216
0xde012ec549d0	\Windows\System32\wininit.exe	216
0xde012ec54cf0	\Windows\System32\locale.nls	216
0xde012ec54e80	\Windows\System32\en-US\csrss.exe.mui	216
0xde012ec55330	\Windows\System32\sxssrv.dll	216
0xde012ec554c0	\CMApi	216
0xde012ec557e0	\Windows\System32	216
0xde012ec55c90	\Windows\System32\cdd.dll	216
0xde012ec56140	\Windows\System32\config\DEFAULT.LOG2	216
0xde012ec562d0	\Windows\System32\umpdc.dll	216
0xde012ec56910	\Windows\System32\userenv.dll	216
0xde012ec56aa0	\Windows\System32\KBDUS.DLL	216
0xde012ec56c30	\Windows\System32\winlogon.exe	216
0xde012ec56dc0	\InitShutdown	216
0xde012ed458a0	\$ConvertToNonresident	216
0xde012ed4b100	녘⻔�￿녘⻔�￿	0
0xde012ed4b3f0	\Windows\System32\TabSvc.dll	216
0xde012ed4b8a0	\$Directory	216
0xde012ed4bbc0	\Windows\System32\appinfoext.dll	216
0xde012ed4bd50	\Users\hcsc\AppData\Local\Microsoft\Windows\Notifications\wpndatabase.db	216
0xde012ed4c200	\Windows\System32\en-US\user32.dll.mui	216
0xde012ed4c9d0	\Windows\System32\winsta.dll	216
0xde012ed4cb60	\Windows\System32\hnetcfg.dll	216
0xde012ed4d1a0	\InitShutdown	216
0xde012ed4d4c0	\Windows\System32\services.exe	216
0xde012ed4d970	\Windows\System32\en-US\user32.dll.mui	216
0xde012ed4dc90	\InitShutdown	216
0xde012ed4de20	\Windows\System32\sxs.dll	216
0xde012ed4e2d0	\$Directory	216
0xde012ed4e910	\$Directory	216
0xde012ed6e0d0	\Windows\System32\devobj.dll	216
0xde012ed6e260	\Windows\System32	216
0xde012ed6e3f0	\Windows\System32\ncrypt.dll	216
0xde012ed6e580	\Windows\System32\ntasn1.dll	216
0xde012ed6e710	\Windows\System32\lsass.exe	216
0xde012ed6e8a0	\Windows\System32\wldp.dll	216
0xde012ed6ea30	\CMApi	216
0xde012ed6ebc0	\Windows\System32\config\SECURITY	216
0xde012ed6ed50	\Windows\System32\config\SECURITY.LOG1	216
0xde012ed6eee0	\Windows\System32\config\SECURITY.LOG2	216
0xde012ed6f200	\Windows\System32\en-US\lsasrv.dll.mui	216
0xde012ed6f390	\Windows\System32\netprovfw.dll	216
0xde012ed6f520	\Windows\System32\LogFiles\Scm\SCM.EVM	216
0xde012ed6f6b0	\Windows\System32\lsasrv.dll	216
0xde012ed6f840	\Windows\System32\msasn1.dll	216
0xde012ed6fb60	\Windows\System32\msprivs.dll	216
0xde012ed6fcf0	\Windows\System32\joinutil.dll	216
0xde012ed6fe80	\Windows\Globalization\Sorting\SortDefault.nls	216
0xde012ed70330	\$Directory	216
0xde012ed704c0	\Windows\System32	216
0xde012ed70650	\Windows\System32\EventAggregation.dll	216
0xde012ed707e0	\Windows\System32\negoexts.dll	216
0xde012ed70970	\Windows\System32\cryptsp.dll	216
0xde012ed70b00	\Windows\System32\cryptbase.dll	216
0xde012ed70c90	\Windows\System32\samsrv.dll	216
0xde012ed71140	\Windows\System32\dpapi.dll	216
0xde012ed71460	\Windows\System32\kerberos.dll	216
0xde012ed715f0	\Windows\System32\msv1_0.dll	216
0xde012ed71780	\Windows\System32\NtlmShared.dll	216
0xde012ed71910	\Windows\System32\mswsock.dll	216
0xde012ed71aa0	\Windows\System32\cryptdll.dll	216
0xde012ed71c30	\Windows\System32\KerbClientShared.dll	216
0xde012ed71dc0	\Windows\debug\PASSWD.LOG	216
0xde012edfc0d0	\Windows\System32\netlogon.dll	216
0xde012edfc100	션⻟�￿션⻟�￿	0
0xde012edfc3f0	\Windows\System32\rsaenh.dll	216
0xde012edfc580	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.19041.1110_none_60b5254171f9507e	216
0xde012edfc710	\Windows\System32\aadcloudap.dll	216
0xde012edfc8a0	\Windows\System32\schannel.dll	216
0xde012edfca30	\Windows\System32\IPHLPAPI.DLL	216
0xde012edfcd50	\Windows\System32\dpapisrv.dll	216
0xde012edfcee0	\Windows\System32\MicrosoftAccountCloudAP.dll	216
0xde012edfd390	\Windows\System32\cloudAP.dll	216
0xde012edfd520	\Windows\System32\gmsaclient.dll	216
0xde012edfd6b0	\Windows\System32\netutils.dll	216
0xde012edfd840	\Windows\System32\TSpkg.dll	216
0xde012edfd9d0	\lsass	216
0xde012edfdb60	\Windows\System32\logoncli.dll	216
0xde012edfdcf0	\lsass	216
0xde012edfde80	\Windows\System32\efslsaext.dll	216
0xde012edfe1a0	\Windows\System32\wkscli.dll	216
0xde012edfe330	\Windows\System32\wdigest.dll	216
0xde012edfe4c0	\Windows\System32\dnsapi.dll	216
0xde012edfe650	\lsass	216
0xde012edfe7e0	\Windows\System32\sspisrv.dll	216
0xde012edfe970	\Windows\System32\pku2u.dll	216
0xde012edfeb00	\Windows\System32\C_28591.NLS	216
0xde012edfee20	\Windows\ServiceState	216
0xde012edff140	\Windows\System32\msvcp110_win.dll	216
0xde012edff2d0	\ntsvcs	216
0xde012edff460	\Windows\System32\scesrv.dll	216
0xde012edff5f0	\ntsvcs	216
0xde012edff780	\$Directory	216
0xde012edff910	\Windows\System32\config\SAM	216
0xde012edffaa0	\$Directory	216
0xde012edffc30	\$Directory	216
0xde012edffdc0	\ntsvcs	216
0xde012ef02270	\Windows\System32	216
0xde012ef02400	\Windows\System32\kdcpw.dll	216
0xde012ef02590	\CMApi	216
0xde012ef02720	\scerpc	216
0xde012ef028b0	\Windows\System32\authz.dll	216
0xde012ef02ef0	\Sessions\0\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523	216
0xde012ef03080	\Windows\System32\svchost.exe	216
0xde012ef030b0	ㄈ⻰�￿ㄈ⻰�￿	0
0xde012ef03210	\Windows\System32\Windows.Cortana.ProxyStub.dll	216
0xde012ef033a0	\Windows\System32\scecli.dll	216
0xde012ef03530	\scerpc	216
0xde012ef036c0	\Windows\System32\profext.dll	216
0xde012ef03850	\Windows\System32\config\SAM.LOG2	216
0xde012ef039e0	\Windows\System32\config\SAM.LOG1	216
0xde012ef03b70	\Windows\System32\ntmarta.dll	216
0xde012ef03d00	\Windows\System32\FirewallAPI.dll	216
0xde012ef041b0	\Windows\System32\fwbase.dll	216
0xde012ef044d0	\Windows\System32\WUDFPlatform.dll	216
0xde012ef04660	\$Directory	216
0xde012ef047f0	\Windows\System32\fontdrvhost.exe	216
0xde012ef04980	\$Directory	216
0xde012ef04ca0	\Windows\System32\fontdrvhost.exe	216
0xde012ef04e30	\Windows\Fonts\segoeui.ttf	216
0xde012ef05150	\scerpc	216
0xde012ef052e0	\$Directory	216
0xde012ef05470	\Windows\System32\umpoext.dll	216
0xde012ef05600	\Windows\System32\en-US\svchost.exe.mui	216
0xde012ef05920	\Windows\System32\en-US\propsys.dll.mui	216
0xde012ef05ab0	\Windows\System32\umpo.dll	216
0xde012ef05c40	\Windows\System32\umpnpmgr.dll	216
0xde012ef05dd0	\Windows\Fonts\vgasys.fon	216
0xde012ef060f0	\Windows\System32\slc.dll	216
0xde012ef06280	\Windows\System32\sppc.dll	216
0xde012ef06410	\Windows\System32\tdh.dll	216
0xde012ef065a0	\Windows\System32	216
0xde012ef06730	\Windows\System32\dxgi.dll	216
0xde012ef068c0	\Windows\System32\gpapi.dll	216
